Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,6/03/2020,20731.7,AUD,Covertel Pty Ltd,PO Box 553 North Melbourne VIC 3051,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,25/11/2019,20729.5,AUD,Bennett and Bennett Consulting Surv,95 Upton Street Bundall QLD 4217,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/09/2019,20721.34,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,11/09/2019,20630.4,AUD,Spinifex IT,88 Ricketts Road Mount Waverley VIC 3149,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,1/07/2019,20620.38,AUD,Instyle Contract,6 Ricketty Street Mascot NSW 2020,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/09/2019,20612.9,AUD,A & S Steel Fabrications Pty Ltd,PO Box 30 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,10/12/2019,20603,AUD,Tunnel Vision Services,74 Fir Street Victoria Point QLD 4165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,25/07/2019,20601.9,AUD,Jory's Fencing Brisbane,201 Robinson Road East Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,20/02/2020,20599.26,AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,27/08/2019,20594,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,5/12/2019,20591.6,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/09/2019,20570,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/08/2019,20553.5,AUD,Hills Motor & Marine Trimming Pty L,7 Schmidt Road Fernvale QLD 4306,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/10/2019,20526,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,7/05/2020,20510.62,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,9/01/2020,20506.64,AUD,Light and Design Group Pty Ltd,61 Holdsworth Street Coorparoo QLD 4151,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,30/09/2019,20489.49,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/10/2019,20460,AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,9/10/2019,20460,AUD,Hyteco (Aust) Pty Ltd,PO Box 5141 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,27/11/2019,20460,AUD,G James Safety Glass (QLD) Pty Ltd,PO Box 1376 Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,12/09/2019,20456.21,AUD,Bas Rail & Electrical Pty Ltd,79 Station Road Seven Hills NSW 2147,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,15/05/2020,20454.5,AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,1/06/2020,20442.61,AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,8/11/2019,20432.5,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/04/2016,20417,AUD,QUT Accounts Receivable,88 Musk Avenue  Level 2 Kelvin Grove QLD 4059,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,19/05/2020,20416,AUD,Berajondo Earthmoving & Haulage,PO Box 7070 Bundaberg QLD 4670,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/03/2020,20405,AUD,MISI Consulting,88 Brandl Street Eight Mile Plains QLD 4113,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/12/2019,20398.13,AUD,NSC Timbers Pty Ltd,1380 Rosedale Road Moorland QLD 4670,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/12/2019,20398.13,AUD,Boundary Creek Timber & Transport,33600 Bruce Highway Gin Gin QLD 4671,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL CRUDE MATLS,4/10/2019,20394,AUD,Bell Rural Contracting,PO Box 74 Cloncurry QLD 4824,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,8/11/2019,20392.9,AUD,Practical Peripherals,106 Fison Avenue Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,20/01/2020,20371.91,AUD,Toplock,PO Box 419 Grange QLD 4051,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,1/10/2019,20370.24,AUD,Railtech Australia Ltd,52 Lysaght Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/04/2020,20367.6,AUD,Austitch Embroidery / Logomotif,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/07/2019,20361.44,AUD,Campbell Sawmills,PO Box 156 Coutts Crossing NSW 2460,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/06/2020,20350,AUD,Galiyarr Technologies Pty Ltd,40 McNeill Road Kallangur QLD 4503,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,26/06/2020,20350,AUD,Metering Dynamics Business,GPO Box 1461 Brisbane QLD 4001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/06/2020,20348.9,AUD,Height Dynamics Pty Ltd,PO Box 527 Albion QLD 4010,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,22/11/2019,20328.65,AUD,Caltex Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,13/11/2019,20325.03,AUD,Downer EDI Rail,71B Elizabeth Street Wetherill Park NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/01/2020,20312.6,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,16/07/2019,20309.3,AUD,Blacktop Asphalt Repairs,27 Third Avenue Barellan Point QLD 4306,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,10/06/2020,20295,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,3/07/2019,20287.3,AUD,Humes,59 Sugarmill Road Pinkenba QLD 4008,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,18/03/2020,20281.8,AUD,Logix Engineering Pty Ltd,PO Box 100 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/05/2020,20250,AUD,ENSCO Rail Australia Pty Ltd,3110 Fairview Park Drive Falls Church VA 22042,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/08/2019,20240,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,20/01/2020,20229,AUD,Coops (Qld) Constructions Pty Ltd,PO Box 422 Oakey QLD 4401,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/10/2019,20220.64,AUD,Railtech Australia Ltd,52 Lysaght Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/05/2020,20212.94,AUD,Industrial Hydraulics Pty Ltd,121 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/03/2020,20203.94,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/04/2020,20190.57,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,25/02/2020,20161.27,AUD,Grosvenor Engineering Group Pty Ltd,30 Garema Circuit Kingsgrove NSW 2207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,27/09/2019,20157.32,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,14/10/2019,20130,AUD,Magnetic Automation Pty Ltd,8 Riverland Drive Loganholme QLD 4129,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",REFRIG & A/C EQUIP,24/02/2020,20097,AUD,Airmaster Australia Pty Ltd,10 Devlan Street Mansfield QLD 4122,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,24/04/2020,20089.85,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,13/05/2020,20075,AUD,Holovision 3D Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/04/2020,20070.6,AUD,Holcim (Australia) Pty Ltd,PO Box 1143 Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/12/2019,20064,AUD,Lumara Timber Sales Pty Ltd,33 Ryde Road Pymble NSW 2073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,6/05/2020,20059,AUD,Haymans Electrical,PO Box 7438 Garbutt QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,26/11/2019,20058.72,AUD,International Quality &,25 Bligh Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/09/2019,20057.4,AUD,UGL Engineering Pty Ltd,49 Borthwick Avenue Murarrie QLD 4172,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/08/2019,20052.78,AUD,Dotmar Engineering,PO Box 79 Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,28/09/2019,20045.3,AUD,Woodtech Engineering Pty Ltd,76 Neptune Street Maryborough QLD 4650,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,18/07/2019,20020,AUD,Grazing Pines,337 Pilerwa Road Mungar QLD 4650,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,21/08/2019,20020,AUD,Massab Metals Pty Ltd,331 Black River Road Black River QLD 4818,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,8/11/2019,20020,AUD,Solid Technologies Pty Ltd,PO Box 426 Maroubra NSW 2035,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",29/06/2020,20020,AUD,Tec-Mach Pty Ltd,26 Staple Street Seventeen Mile Rocks QLD 4073,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECT WIRE PWR EQUIP,6/08/2019,19998.83,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,25/03/2020,19991.68,AUD,Brisbane Wholesale Hardware Co Pty,83 Deshon Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,18/12/2019,19987.62,AUD,RF Industries Pty Ltd,PO Box 340 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/05/2020,19976.44,AUD,Thermit Australia Pty Ltd,PO Box 76 Somersby NSW 2250,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/09/2019,19976,AUD,New Image Tiling Qld Pty Ltd,PO Box 2875 Brisbane QLD 4001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/04/2020,19956.2,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/02/2020,19949.07,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,4/06/2020,19937.5,AUD,HMA Material Handling,PO Box 999 Brisbane Airport QLD 4007,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,6/01/2020,19901.12,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/12/2019,19877,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,6/03/2020,19866,AUD,Test Equipment Pty Ltd,PO Box 402 Cleveland QLD 4163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,8/05/2020,19860.82,AUD,Sure Power,4 Manilla Street East Brisbane QLD 4169,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/05/2020,19852.8,AUD,Sungod Signs & Designs,27 Coronation Avenue Nambour QLD 4560,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/09/2019,19852.59,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,17/04/2020,19844,AUD,MRD Rail Technologies Pty Ltd,235 South Street Cleveland QLD 4163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,26/09/2019,19833.44,AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/08/2019,19833,AUD,Eltek Australia Pty Ltd,39 Herbert Street St Leonards NSW 2065,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",WASTE DISPOSAL,9/01/2020,19833,AUD,Townsville Earthmoving Pty Ltd,PO Box 7752 Mount Louisa QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,4/07/2019,19815.4,AUD,Vicom Australia Pty Ltd,1064 Centre Road Oakleigh South VIC 3167,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,13/08/2019,19800,AUD,Herron Todd White (Brisbane) Pty Lt,PO Box 6149 Chermside QLD 4032,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/12/2019,19800,AUD,Westray Engineering,PO Box 2222 Caringbah NSW 2229,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,26/02/2020,19800,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VALVES,10/03/2020,19800,AUD,Online Automation Pty Ltd,33 Buchanan Road Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,20/03/2020,19800,AUD,The Workwear Group Pty Ltd,848 Gympie Road Chermside QLD 4032,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,23/04/2020,19800,AUD,Reliant Systems Pty Ltd,42 Sanctuary Drive Idalia QLD 4811,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,8/05/2020,19800,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/05/2020,19800,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,9/10/2019,19790.96,AUD,Hastings Deering (Aust) Ltd,PO Box 7946 Garbutt QLD 4814,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NONMETAL CRUDE MATLS,19/11/2019,19784.05,AUD,XTRA Co,PO Box 210 Walkamin QLD 4872,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHT INDUSTRY MACH,9/04/2020,19765.9,AUD,JDN Monocrane Pty Ltd,7-11 Nathan Road Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,18/06/2020,19753.5,AUD,Thomson Reuters,100 Harris Street Pyrmont NSW 2009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",15/11/2019,19746.54,AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE CONTAINER,18/11/2014,19725.71,AUD,Royal Wolf Trading,PO Box 161 Banyo QLD 4014,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,16/04/2020,19723,AUD,Statewide Fasteners &,PO Box 400 Albion QLD 4010,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,28/02/2020,19678.12,AUD,RF Industries Pty Ltd,PO Box 340 Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/08/2019,19674.73,AUD,Fletcher & Sons,9 Baulderstone Road Gepps Cross SA 5094,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,13/02/2020,19657.43,AUD,VideoPro Pty Ltd,37 Eagleview Place Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,27/03/2020,19651.5,AUD,Professional Cleaning Services Pty,7 Blaxland Street Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVER SOFTWARE,25/09/2019,19635,AUD,RADSPEC CONSULTANTS PTY LTD,47 CINDERELLA DRIVE SPRINGWOOD QLD 4127,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,23/07/2019,19623.54,AUD,Wood & Grieve Engineers,226 Adelaide Terrace Perth WA 6000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/11/2019,19602,AUD,Australian Railway Supply,426 Johnston Street Abbotsford VIC 3067,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/06/2020,19600.9,AUD,Seton Australia Pty Ltd,PO Box 5006 Greystanes NSW 2145,NO,NO,,,,,,,,,,,,,
